	Acute myeloid leukemia	"BladderUrothelialCarcinoma(TCGA,US)"	Breast Cancer	"BreastCarcinoma(WTSI,UK)"	"BreastInvasiveCarcinoma(TCGA,US)"	"CervicalSquamousCellCarcinoma(TCGA,US)"	Chronic lymphocytic leukaemia	"ColonAdenocarcinoma(TCGA,US)"	Colorectal adenocarcinoma	"GastricCancer(CCGC,CN)"	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	"LiverCancer(NCC,JP)"	"LiverCancer(RIKEN,JP)"	Lung	"MalignantMelanoma(WTSI,UK)"	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	"PediatricBrainTumors(DKFZ,DE)"	Prostate	"ProstateCancer(OICR,CA)"	"RectumAdenocarcinoma(TCGA,US)"	Small cell lung cancer	T-cell ALL	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"	Sum
LAX1																									0.000245553					0.000245553
MARVELD3																									0.000245553					0.000245553
RAPGEF6																									0.000245553					0.000245553
RPL15																									0.000245553					0.000245553
SYAP1																									0.000245553					0.000245553
THEM4																									0.000245553					0.000245553
TMEM169																									0.000245553					0.000245553
ZNF506																									0.000245553					0.000245553
ZSCAN30																									0.000245553					0.000245553
CUL5															0.00021475										3.07E-05					0.000245444
SLC26A7														0.0001048	0.000140413															0.000245213
MYOC														6.29E-05	0.000181712															0.000244591
ANKS1A														0.000244533																0.000244533
BAIAP2L1														0.000244533																0.000244533
DUSP5														0.000244533																0.000244533
HRH3														0.000244533																0.000244533
ITPKA														0.000244533																0.000244533
LMBR1L														0.000244533																0.000244533
OSBPL7														0.000244533																0.000244533
PLCD3														0.000244533																0.000244533
PRPSAP2														0.000244533																0.000244533
SAPCD2														0.000244533																0.000244533
SLC28A1														0.000244533																0.000244533
SNX32														0.000244533																0.000244533
TBX1														0.000244533																0.000244533
TWF2														0.000244533																0.000244533
VWA5B1														0.000244533																0.000244533
ZER1														0.000244533																0.000244533
MTPN														0.00016768											7.67E-05					0.000244415
RABGEF1															0.000198231										4.60E-05					0.000244272
MMP20														0.000111786	0.000132154															0.00024394
MON2														9.78E-05											0.000145797					0.00024361
SLC6A14														9.78E-05											0.000145797					0.00024361
POF1B														0.000118773	0.000123894															0.000242667
MCM4														0.0002096	3.30E-05															0.000242638
FAHD2B														3.49E-05	0.00020649															0.000241424
CXCL3									0.000143308					9.78E-05																0.000241121
RFK															0.000148673										9.21E-05					0.000240756
TMEM60														0.000174666	6.61E-05															0.000240743
OGFOD1															0.000140413										9.98E-05					0.000240169
MAP9														4.19E-05	0.000198231															0.000240151
EIF4EBP1														0.000132746	0.000107375															0.000240121
ABCC1															0.000239529															0.000239529
CCNL1															0.000239529															0.000239529
CIC															0.000239529															0.000239529
COL6A6															0.000239529															0.000239529
CSDC2															0.000239529															0.000239529
FRMD4A															0.000239529															0.000239529
KPRP															0.000239529															0.000239529
MAGEL2															0.000239529															0.000239529
MICA															0.000239529															0.000239529
PASK															0.000239529															0.000239529
SNX29															0.000239529															0.000239529
TRMT61A															0.000239529															0.000239529
UBE2QL1															0.000239529															0.000239529
UHRF1BP1															0.000239529															0.000239529
ZFP37															0.000239529															0.000239529
BASP1									0.000238846																					0.000238846
DENND5A									0.000238846																					0.000238846
GUCY1B3									0.000238846																					0.000238846
KIF13A									0.000238846																					0.000238846
LHX2									0.000238846																					0.000238846
LSM1									0.000238846																					0.000238846
PIK3C2G									0.000238846																					0.000238846
EMR2																									0.00023788					0.00023788
FANCF																									0.00023788					0.00023788
HCAR1																									0.00023788					0.00023788
MOCS3																									0.00023788					0.00023788
PIPOX																									0.00023788					0.00023788
PLEKHG1																									0.00023788					0.00023788
POLR2J2																									0.00023788					0.00023788
PSMD5																									0.00023788					0.00023788
RAD54B																									0.00023788					0.00023788
SLC25A15																									0.00023788					0.00023788
SP4																									0.00023788					0.00023788
TMEM180																									0.00023788					0.00023788
ZNF70																									0.00023788					0.00023788
SRSF6														0.00014672	9.09E-05															0.000237576
ANKS3														0.000237546																0.000237546
ARRB1														0.000237546																0.000237546
ASCL1														0.000237546																0.000237546
ATG4B														0.000237546																0.000237546
ATRN														0.000237546																0.000237546
BAZ2A														0.000237546																0.000237546
CDK5														0.000237546																0.000237546
CEP170B														0.000237546																0.000237546
COQ4														0.000237546																0.000237546
CTSL2														0.000237546																0.000237546
CXCR5														0.000237546																0.000237546
DDX54														0.000237546																0.000237546
DEPDC7														0.000237546																0.000237546
EIF4E1B														0.000237546																0.000237546
ERAP1														0.000237546																0.000237546
FAM53B														0.000237546																0.000237546
IQCE														0.000237546																0.000237546
MMP27														0.000237546																0.000237546
MUC12														0.000237546																0.000237546
MYRF														0.000237546																0.000237546
OCRL														0.000237546																0.000237546
PADI2														0.000237546																0.000237546
PDLIM7														0.000237546																0.000237546
PPT1														0.000237546																0.000237546
SDC1														0.000237546																0.000237546
SLC44A3														0.000237546																0.000237546
SLC6A13														0.000237546																0.000237546
SMOC2														0.000237546																0.000237546
TMEM70														0.000237546																0.000237546
TMUB1														0.000237546																0.000237546
TSLP														0.000237546																0.000237546
RPS24														0.000160693											7.67E-05					0.000237428
UBA6														0.0001048	0.000132154															0.000236954
SFXN2															9.09E-05										0.000145797					0.000236653
NUGGC														9.78E-05											0.000138124					0.000235937
JPH1														0.000202613	3.30E-05															0.000235651
C9orf68																		0.000235073												0.000235073
RCSD1																		0.000235073												0.000235073
LRRC19														3.49E-05											0.000199512					0.000234445
RBM11														0.000118773	0.000115635															0.000234408
ABHD17B														7.69E-05	0.000156933															0.000233786
LHFPL5														7.69E-05	0.000156933															0.000233786
SSR3														4.19E-05											0.000191838					0.000233758
PLAC8															4.96E-05										0.000184165					0.000233723
EHD2															0.000156933										7.67E-05					0.000233668
PTGER4														0.00012576	0.000107375															0.000233135
ZMAT1														8.38E-05	0.000148673															0.000232513
GALNT4															0.000132154										9.98E-05					0.00023191
ADH4														6.29E-05											0.000168818					0.000231698
MSS51															0.000123894										0.00010743					0.000231324
ADAMTS14															0.000231269															0.000231269
ATAT1															0.000231269															0.000231269
C11orf68															0.000231269															0.000231269
CD1D															0.000231269															0.000231269
CNOT6L															0.000231269															0.000231269
DDX42															0.000231269															0.000231269
DMP1															0.000231269															0.000231269
EGFL6															0.000231269															0.000231269
FHL5															0.000231269															0.000231269
FLVCR2															0.000231269															0.000231269
GATAD2B															0.000231269															0.000231269
GNAI1															0.000231269															0.000231269
KCNJ9															0.000231269															0.000231269
KDELR2															0.000231269															0.000231269
LY9															0.000231269															0.000231269
MAP1B															0.000231269															0.000231269
PPCDC															0.000231269															0.000231269
RBM47															0.000231269															0.000231269
RRS1															0.000231269															0.000231269
SLK															0.000231269															0.000231269
SRSF3															0.000231269															0.000231269
TCERG1															0.000231269															0.000231269
TNFAIP8															0.000231269															0.000231269
TRIM10															0.000231269															0.000231269
UROC1															0.000231269															0.000231269
WDFY3															0.000231269															0.000231269
ZDHHC7															0.000231269															0.000231269
PLAGL2														9.08E-05	0.000140413															0.00023124
14-Sep															0.000115635										0.000115103					0.000230738
MYCT1														0.000139733	9.09E-05															0.000230589
ADAM11														0.00023056																0.00023056
C1QTNF5														0.00023056																0.00023056
C1orf43														0.00023056																0.00023056
CCAR1														0.00023056																0.00023056
CKM														0.00023056																0.00023056
CRTC2														0.00023056																0.00023056
HEG1														0.00023056																0.00023056
HOXC10														0.00023056																0.00023056
KRTAP2-4														0.00023056																0.00023056
MAK														0.00023056																0.00023056
NCL														0.00023056																0.00023056
SHARPIN														0.00023056																0.00023056
SMUG1														0.00023056																0.00023056
TIFAB														0.00023056																0.00023056
TKTL1														0.00023056																0.00023056
TOB1														0.00023056																0.00023056
TOM1L1														0.00023056																0.00023056
TTYH3														0.00023056																0.00023056
BCL2														7.69E-05											0.000153471					0.000230324
AP5S1																									0.000230206					0.000230206
ARHGDIB																									0.000230206					0.000230206
DESI1																									0.000230206					0.000230206
EVI5																									0.000230206					0.000230206
GTF2IRD2B																									0.000230206					0.000230206
PPID																									0.000230206					0.000230206
PTGES3L																									0.000230206					0.000230206
RBMX																									0.000230206					0.000230206
SLC12A8																									0.000230206					0.000230206
SNAP23																									0.000230206					0.000230206
XKR9																									0.000230206					0.000230206
ANKRD12														0.0001048	0.000123894															0.000228694
PTCH2														0.000195626	3.30E-05															0.000228665
HMGB3														0.000111786	0.000115635															0.000227421
SNX33														0.000111786	0.000115635															0.000227421
C9														6.99E-05	0.000156933															0.000226799
TIMM17A														7.69E-05	0.000148673															0.000225526
ZNF648														7.69E-05	0.000148673															0.000225526
ZNF114															0.000148673										7.67E-05					0.000225408
C18orf32														0.000223573																0.000223573
C2orf53														0.000223573																0.000223573
C9orf72														0.000223573																0.000223573
CABP7														0.000223573																0.000223573
CEP164														0.000223573																0.000223573
COLEC12														0.000223573																0.000223573
EEPD1														0.000223573																0.000223573
EZR														0.000223573																0.000223573
FAM83C														0.000223573																0.000223573
GHRH														0.000223573																0.000223573
HNF4A														0.000223573																0.000223573
HNRNPAB														0.000223573																0.000223573
IFRD1														0.000223573																0.000223573
IGSF9														0.000223573																0.000223573
KIAA0232														0.000223573																0.000223573
LRRC16B														0.000223573																0.000223573
NUDT8														0.000223573																0.000223573
PIP5K1C														0.000223573																0.000223573
PPIC														0.000223573																0.000223573
RNF44														0.000223573																0.000223573
RPL17-C18orf32														0.000223573																0.000223573
SEZ6														0.000223573																0.000223573
SLC38A4														0.000223573																0.000223573
TBX3														0.000223573																0.000223573
TJP1														0.000223573																0.000223573
TPRA1														0.000223573																0.000223573
ZNF564														0.000223573																0.000223573
EPT1														6.99E-05											0.000153471					0.000223337
CPSF2															0.000115635										0.00010743					0.000223064
CXorf36															0.000115635										0.00010743					0.000223064
CBX2															0.00022301															0.00022301
CEBPA															0.00022301															0.00022301
CHST2															0.00022301															0.00022301
CNTN5															0.00022301															0.00022301
CREB3L2															0.00022301															0.00022301
DEXI															0.00022301															0.00022301
DOCK2															0.00022301															0.00022301
EEA1															0.00022301															0.00022301
ESRP2															0.00022301															0.00022301
FIP1L1															0.00022301															0.00022301
GTDC1															0.00022301															0.00022301
KCNN4															0.00022301															0.00022301
LARP1															0.00022301															0.00022301
NPHP4															0.00022301															0.00022301
RAB4A															0.00022301															0.00022301
RRN3															0.00022301															0.00022301
SMG5															0.00022301															0.00022301
BLOC1S3																									0.000222533					0.000222533
FLCN																									0.000222533					0.000222533
INIP																									0.000222533					0.000222533
MAB21L3																									0.000222533					0.000222533
SEC62														4.89E-05	0.000173452															0.000222359
FNIP2			0.000221615																											0.000221615
PROSC			0.000221615																											0.000221615
ALG1																													0.000221348	0.000221348
CARD16																													0.000221348	0.000221348
CTNS																													0.000221348	0.000221348
HINFP																													0.000221348	0.000221348
KRTAP4-9																													0.000221348	0.000221348
RTN3																													0.000221348	0.000221348
SLC18A1																													0.000221348	0.000221348
SSFA2																													0.000221348	0.000221348
FAT2														0.00014672	7.43E-05															0.000221056
APOPT1														0.0001048											0.000115103					0.000219903
PRR23A														0.0001048											0.000115103					0.000219903
KCNRG														0.000153706	6.61E-05															0.000219783
JAG1														2.10E-05	0.000198231															0.000219191
RGS16														0.000111786	0.000107375															0.000219161
MFAP5															5.78E-05										0.000161144					0.000218962
SLC10A7														0.000118773	9.91E-05															0.000217889
MED1														0.00016768	4.96E-05															0.000217237
AOC3														0.000216586																0.000216586
ARHGEF6														0.000216586																0.000216586
C10orf10														0.000216586																0.000216586
CHD5														0.000216586																0.000216586
COX11														0.000216586																0.000216586
ENTHD2														0.000216586																0.000216586
FBLN5														0.000216586																0.000216586
FIGN														0.000216586																0.000216586
GLTPD1														0.000216586																0.000216586
GPX7														0.000216586																0.000216586
KIAA0355														0.000216586																0.000216586
MAX														0.000216586																0.000216586
OSTF1														0.000216586																0.000216586
PLA2G15														0.000216586																0.000216586
PLCB2														0.000216586																0.000216586
SHKBP1														0.000216586																0.000216586
SMURF2														0.000216586																0.000216586
TMEM256														0.000216586																0.000216586
TRMT13														0.000216586																0.000216586
MTA2														8.38E-05	0.000132154															0.000215994
MSC														0.000132746	8.26E-05															0.000215343
FAM46C														0.000153706											6.14E-05					0.000215095
ATP13A2																									0.000214859					0.000214859
GLB1L																									0.000214859					0.000214859
GPR1																									0.000214859					0.000214859
IGFBP5																									0.000214859					0.000214859
TADA3																									0.000214859					0.000214859
TAF1A																									0.000214859					0.000214859
ANKRD40															0.00021475															0.00021475
APBA2															0.00021475															0.00021475
AVIL															0.00021475															0.00021475
C17orf78															0.00021475															0.00021475
CCNG1															0.00021475															0.00021475
EIF5															0.00021475															0.00021475
ELOVL2															0.00021475															0.00021475
IL13															0.00021475															0.00021475
LMO7															0.00021475															0.00021475
MAFA															0.00021475															0.00021475
MATN2															0.00021475															0.00021475
MLL3															0.00021475															0.00021475
PLOD2															0.00021475															0.00021475
POMC															0.00021475															0.00021475
PRR18															0.00021475															0.00021475
PTHLH															0.00021475															0.00021475
RABEP1															0.00021475															0.00021475
RAD51AP1															0.00021475															0.00021475
RBM17															0.00021475															0.00021475
RELB															0.00021475															0.00021475
SNRPC															0.00021475															0.00021475
TFRC															0.00021475															0.00021475
TKTL2															0.00021475															0.00021475
TMEM106B															0.00021475															0.00021475
TPBG															0.00021475															0.00021475
UBTD2															0.00021475															0.00021475
VIP															0.00021475															0.00021475
ZFP36L2															0.00021475															0.00021475
ZNF69															0.00021475															0.00021475
CLRN3														9.08E-05	0.000123894															0.000214721
MIP														0.000139733	7.43E-05															0.00021407
MTMR4														0.000139733	7.43E-05															0.00021407
OLFML2A															0.000189971										2.30E-05					0.000212992
ERCC6														0.00014672	6.61E-05															0.000212797
RMND1															4.96E-05										0.000161144					0.000210702
KIR2DL3														0.000118773	9.09E-05															0.000209629
ARHGEF11														0.0002096																0.0002096
ARHGEF28														0.0002096																0.0002096
CCDC169														0.0002096																0.0002096
CD40LG														0.0002096																0.0002096
CHPF														0.0002096																0.0002096
CLK3														0.0002096																0.0002096
DEPDC1B														0.0002096																0.0002096
DLGAP4														0.0002096																0.0002096
EVA1A														0.0002096																0.0002096
FAM5C														0.0002096																0.0002096
FGFBP3														0.0002096																0.0002096
FLOT1														0.0002096																0.0002096
HCN4														0.0002096																0.0002096
HNRPLL														0.0002096																0.0002096
IL1RAP														0.0002096																0.0002096
KCNG3														0.0002096																0.0002096
KDM4B														0.0002096																0.0002096
KLHL13														0.0002096																0.0002096
MAP1LC3A														0.0002096																0.0002096
MAP2K5														0.0002096																0.0002096
MRPL42														0.0002096																0.0002096
NDUFA4L2														0.0002096																0.0002096
NHLH1														0.0002096																0.0002096
NLRP12														0.0002096																0.0002096
PABPN1L														0.0002096																0.0002096
PACS1														0.0002096																0.0002096
PANK1														0.0002096																0.0002096
PDZRN3														0.0002096																0.0002096
PRAMEF16														0.0002096																0.0002096
RAB3GAP1														0.0002096																0.0002096
RNF10														0.0002096																0.0002096
RNF6														0.0002096																0.0002096
RPH3A														0.0002096																0.0002096
SEMA4B														0.0002096																0.0002096
SNRPN														0.0002096																0.0002096
STARD8														0.0002096																0.0002096
TMEM100														0.0002096																0.0002096
TRIM34														0.0002096																0.0002096
VSIG2														0.0002096																0.0002096
WNT6														0.0002096																0.0002096
PAFAH1B1															0.000140413										6.91E-05					0.000209475
LYVE1									0.000143308						6.61E-05															0.000209384
TMEM151B														7.69E-05	0.000132154															0.000209007
PARP16														3.49E-05	0.000173452															0.000208385
COG3														0.00012576	8.26E-05															0.000208356
FAM229B																									0.000207186					0.000207186
NCCRP1																									0.000207186					0.000207186
RABIF																									0.000207186					0.000207186
SUPT7L																									0.000207186					0.000207186
BOK															0.00020649															0.00020649
C10orf53															0.00020649															0.00020649
C1RL															0.00020649															0.00020649
CCDC169-SOHLH2															0.00020649															0.00020649
CLN5															0.00020649															0.00020649
CTSO															0.00020649															0.00020649
HSPA4															0.00020649															0.00020649
LCE2D															0.00020649															0.00020649
LRIG1															0.00020649															0.00020649
PHLPP1															0.00020649															0.00020649
RPRD1A															0.00020649															0.00020649
SH2B3															0.00020649															0.00020649
SOHLH2															0.00020649															0.00020649
SPSB4															0.00020649															0.00020649
SYT10															0.00020649															0.00020649
TMEM167B															0.00020649															0.00020649
TMX1															0.00020649															0.00020649
TNFAIP1															0.00020649															0.00020649
TWIST1															0.00020649															0.00020649
VPS36															0.00020649															0.00020649
WNT7B														9.08E-05											0.000115103					0.00020593
SLC18A2														5.59E-05	0.000148673															0.000204566
CYP4V2															0.000173452										3.07E-05					0.000204146
ADARB2														0.000202613																0.000202613
B9D2														0.000202613																0.000202613
CLEC2B														0.000202613																0.000202613
DLK1														0.000202613																0.000202613
DPF2														0.000202613																0.000202613
DTX4														0.000202613																0.000202613
FBXL19														0.000202613																0.000202613
GPC1														0.000202613																0.000202613
MAB21L1														0.000202613																0.000202613
POM121L12														0.000202613																0.000202613
PTCD2														0.000202613																0.000202613
RANBP9														0.000202613																0.000202613
TRAF2														0.000202613																0.000202613
UNC5CL														0.000202613																0.000202613
UPK1A														0.000202613																0.000202613
ZNF25														0.000202613																0.000202613
ZNF781														0.000202613																0.000202613
CNTLN															4.13E-05										0.000161144					0.000202442
ASB16																									0.000199512					0.000199512
DHX40																									0.000199512					0.000199512
FUT2																									0.000199512					0.000199512
GFRAL																									0.000199512					0.000199512
ICAM4																									0.000199512					0.000199512
MRPL44																									0.000199512					0.000199512
SPAST																									0.000199512					0.000199512
TOMM7																									0.000199512					0.000199512
UPK3BL																									0.000199512					0.000199512
WDR65																									0.000199512					0.000199512
ANGPTL1														8.38E-05	0.000115635															0.000199474
DMRTC2														8.38E-05	0.000115635															0.000199474
GPR82															0.000107375										9.21E-05					0.000199457
DNAH12														4.19E-05	0.000156933															0.000198853
RNF169														0.000132746	6.61E-05															0.000198823
ARFGAP3															0.000198231															0.000198231
ARHGAP5															0.000198231															0.000198231
BAG4															0.000198231															0.000198231
BLMH															0.000198231															0.000198231
C11orf86															0.000198231															0.000198231
C1orf198															0.000198231															0.000198231
C6															0.000198231															0.000198231
CS															0.000198231															0.000198231
CWH43															0.000198231															0.000198231
DMRTB1															0.000198231															0.000198231
DPYSL2															0.000198231															0.000198231
DYNLT1															0.000198231															0.000198231
ENTPD3															0.000198231															0.000198231
GLIS3															0.000198231															0.000198231
GRIK3															0.000198231															0.000198231
GRIN2D															0.000198231															0.000198231
HMGCLL1															0.000198231															0.000198231
HNRNPD															0.000198231															0.000198231
IL15															0.000198231															0.000198231
INPP5E															0.000198231															0.000198231
LRRC49															0.000198231															0.000198231
LYPD5															0.000198231															0.000198231
LZTR1															0.000198231															0.000198231
MAGI2															0.000198231															0.000198231
MOSPD2															0.000198231															0.000198231
MXRA5															0.000198231															0.000198231
NCKIPSD															0.000198231															0.000198231
NUDT13															0.000198231															0.000198231
OSTC															0.000198231															0.000198231
PEPD															0.000198231															0.000198231
PTGDR2															0.000198231															0.000198231
RANBP17															0.000198231															0.000198231
RASSF3															0.000198231															0.000198231
RREB1															0.000198231															0.000198231
SH3RF3															0.000198231															0.000198231
SLC23A1															0.000198231															0.000198231
SLC7A1															0.000198231															0.000198231
SLMO1															0.000198231															0.000198231
SNX3															0.000198231															0.000198231
VWC2															0.000198231															0.000198231
WDR31															0.000198231															0.000198231
YTHDF2															0.000198231															0.000198231
ZMYND10															0.000198231															0.000198231
ZNF12															0.000198231															0.000198231
ASH1L														4.89E-05	0.000148673															0.00019758
DOCK5														0.000139733	5.78E-05															0.00019755
ASCC1																													0.000196754	0.000196754
C5orf38																													0.000196754	0.000196754
DSC1																													0.000196754	0.000196754
H1F0																													0.000196754	0.000196754
NCK2																													0.000196754	0.000196754
RLN2																													0.000196754	0.000196754
TLE2																													0.000196754	0.000196754
RALGAPB															6.61E-05										0.00013045					0.000196527
TOX														0.0001048	9.09E-05															0.000195656
ADAMTSL2														0.000195626																0.000195626
ARHGAP35														0.000195626																0.000195626
ARHGEF10														0.000195626																0.000195626
ASB4														0.000195626																0.000195626
BTLA														0.000195626																0.000195626
CAT														0.000195626																0.000195626
CD96														0.000195626																0.000195626
CEPT1														0.000195626																0.000195626
CYP2A13														0.000195626																0.000195626
DDT														0.000195626																0.000195626
EMC4														0.000195626																0.000195626
FAM189A2														0.000195626																0.000195626
FANCD2														0.000195626																0.000195626
FANCI														0.000195626																0.000195626
FBXL22														0.000195626																0.000195626
FOXL2														0.000195626																0.000195626
GATA3														0.000195626																0.000195626
GRAP														0.000195626																0.000195626
HERC4														0.000195626																0.000195626
HRH1														0.000195626																0.000195626
KCNK3														0.000195626																0.000195626
KCNK6														0.000195626																0.000195626
KLHL23														0.000195626																0.000195626
LRRC36														0.000195626																0.000195626
MROH9														0.000195626																0.000195626
PANX1														0.000195626																0.000195626
PHOSPHO2-KLHL23														0.000195626																0.000195626
PKM														0.000195626																0.000195626
REST														0.000195626																0.000195626
S100A11														0.000195626																0.000195626
SAMSN1														0.000195626																0.000195626
SLC7A7														0.000195626																0.000195626
SLC8A2														0.000195626																0.000195626
SPRN														0.000195626																0.000195626
SPTB														0.000195626																0.000195626
SYNM														0.000195626																0.000195626
TTBK2														0.000195626																0.000195626
TXLNA														0.000195626																0.000195626
ZNF775														0.000195626																0.000195626
ZSCAN1														0.000195626																0.000195626
PTBP2									0.000143308						4.96E-05															0.000192865
FBXL16														7.69E-05	0.000115635															0.000192488
SPEN														3.49E-05	0.000156933															0.000191866
AGMAT																									0.000191838					0.000191838
LRRC3																									0.000191838					0.000191838
LRRN4CL																									0.000191838					0.000191838
NHLRC1																									0.000191838					0.000191838
TMEM119																									0.000191838					0.000191838
AHNAK														0.00012576	6.61E-05															0.000191837
FABP4														8.38E-05	0.000107375															0.000191215
XK														8.38E-05	0.000107375															0.000191215
E2F1									0.000191077																					0.000191077
HIATL1									0.000191077																					0.000191077
MYLK3									0.000191077																					0.000191077
SERPINB13														4.19E-05	0.000148673															0.000190593
SEC63															8.26E-05										0.00010743					0.000190026
ANTXR1															0.000189971															0.000189971
BNC1															0.000189971															0.000189971
CALM1															0.000189971															0.000189971
CCND2															0.000189971															0.000189971
CMTM4															0.000189971															0.000189971
CPLX4															0.000189971															0.000189971
DNAJB1															0.000189971															0.000189971
EFCAB7															0.000189971															0.000189971
H3F3B															0.000189971															0.000189971
KCNJ8															0.000189971															0.000189971
LCP1															0.000189971															0.000189971
LDLRAP1															0.000189971															0.000189971
LMOD1															0.000189971															0.000189971
LRRCC1															0.000189971															0.000189971
N4BP1															0.000189971															0.000189971
NEUROD1															0.000189971															0.000189971
NOD1															0.000189971															0.000189971
PADI1															0.000189971															0.000189971
PDZD2															0.000189971															0.000189971
RMND5A															0.000189971															0.000189971
SMIM15															0.000189971															0.000189971
TRAK1															0.000189971															0.000189971
ZNF354A															0.000189971															0.000189971
ZSWIM6															0.000189971															0.000189971
C8orf44															7.43E-05										0.000115103					0.00018944
TENM4															7.43E-05										0.000115103					0.00018944
MCM3														0.000139733	4.96E-05															0.000189291
ZNF697														9.78E-05	9.09E-05															0.000188669
AMT														0.00018864																0.00018864
B3GNT2														0.00018864																0.00018864
BCAT2														0.00018864																0.00018864
CAMKMT														0.00018864																0.00018864
CPE														0.00018864																0.00018864
EXOC1														0.00018864																0.00018864
FABP7														0.00018864																0.00018864
FAF1														0.00018864																0.00018864
FBXW11														0.00018864																0.00018864
GATSL3														0.00018864																0.00018864
GCHFR														0.00018864																0.00018864
GNAZ														0.00018864																0.00018864
GPRIN1														0.00018864																0.00018864
HIF1A														0.00018864																0.00018864
ICAM1														0.00018864																0.00018864
LY6D														0.00018864																0.00018864
MATN4														0.00018864																0.00018864
MIA3														0.00018864																0.00018864
MPI														0.00018864																0.00018864
MUC7														0.00018864																0.00018864
NAALADL1														0.00018864																0.00018864
SAMD4A														0.00018864																0.00018864
SIGLEC1														0.00018864																0.00018864
SLC16A2														0.00018864																0.00018864
SLC35E2B														0.00018864																0.00018864
SLMAP														0.00018864																0.00018864
SNRPD1														0.00018864																0.00018864
STAMBP														0.00018864																0.00018864
STMN3														0.00018864																0.00018864
TSR3														0.00018864																0.00018864
CDH8														0.000118773	6.61E-05															0.00018485
TRNT1														0.000118773	6.61E-05															0.00018485
RAET1E														7.69E-05											0.00010743					0.000184283
CLCA2														7.69E-05	0.000107375															0.000184228
ADAM28																									0.000184165					0.000184165
AKR1C2																									0.000184165					0.000184165
CAB39L																									0.000184165					0.000184165
DPY19L4																									0.000184165					0.000184165
GAPVD1																									0.000184165					0.000184165
PIWIL2																									0.000184165					0.000184165
PTPLAD1																									0.000184165					0.000184165
RSL1D1																									0.000184165					0.000184165
SRD5A3																									0.000184165					0.000184165
UBE3A																									0.000184165					0.000184165
WDR76																									0.000184165					0.000184165
RAD9B														3.49E-05	0.000148673															0.000183606
TIMM22														0.000132746	4.96E-05															0.000182304
ABHD16A															0.000181712															0.000181712
C19orf18															0.000181712															0.000181712
C1orf131															0.000181712															0.000181712
COL22A1															0.000181712															0.000181712
DYRK2															0.000181712															0.000181712
FAM177B															0.000181712															0.000181712
FAM26E															0.000181712															0.000181712
HIBCH															0.000181712															0.000181712
IRF9															0.000181712															0.000181712
KCNN2															0.000181712															0.000181712
LAD1															0.000181712															0.000181712
LIN28B															0.000181712															0.000181712
MANEA															0.000181712															0.000181712
N4BP2L2															0.000181712															0.000181712
NME7															0.000181712															0.000181712
ORMDL1															0.000181712															0.000181712
PRRC2B															0.000181712															0.000181712
R3HDM1															0.000181712															0.000181712
RFFL															0.000181712															0.000181712
SOX15															0.000181712															0.000181712
SPR															0.000181712															0.000181712
SRPK2															0.000181712															0.000181712
THBD															0.000181712															0.000181712
TMEM154															0.000181712															0.000181712
TTC30A															0.000181712															0.000181712
WAC															0.000181712															0.000181712
ANO1														0.000181653																0.000181653
ANO8														0.000181653																0.000181653
ASAP3														0.000181653																0.000181653
AUTS2														0.000181653																0.000181653
BAI3														0.000181653																0.000181653
BIRC3														0.000181653																0.000181653
C12orf56														0.000181653																0.000181653
CHMP5														0.000181653																0.000181653
DGKQ														0.000181653																0.000181653
GJA1														0.000181653																0.000181653
GPNMB														0.000181653																0.000181653
KATNAL2														0.000181653																0.000181653
KIAA1586														0.000181653																0.000181653
KRTAP9-9														0.000181653																0.000181653
LTN1														0.000181653																0.000181653
MAD2L1BP														0.000181653																0.000181653
MAP3K19														0.000181653																0.000181653
METTL17														0.000181653																0.000181653
PCDH8														0.000181653																0.000181653
PIGM														0.000181653																0.000181653
POLE														0.000181653																0.000181653
PPP4R1														0.000181653																0.000181653
PTPRE														0.000181653																0.000181653
RAD9A														0.000181653																0.000181653
RBM12B														0.000181653																0.000181653
RRAGB														0.000181653																0.000181653
RRP36														0.000181653																0.000181653
STRAP														0.000181653																0.000181653
TMEM98														0.000181653																0.000181653
TMTC4														0.000181653																0.000181653
UBA3														0.000181653																0.000181653
PHLDA2														4.89E-05	0.000132154															0.00018106
TMEM220														9.78E-05	8.26E-05															0.000180409
ZNF217														0.000111786	6.61E-05															0.000177863
MBD3														6.99E-05											0.00010743					0.000177296
AGMO																									0.000176491					0.000176491
DRAM1																									0.000176491					0.000176491
ERI1																									0.000176491					0.000176491
INPP5B																									0.000176491					0.000176491
LAMP3																									0.000176491					0.000176491
PRAMEF1																									0.000176491					0.000176491
PRSS1																									0.000176491					0.000176491
SLC5A12																									0.000176491					0.000176491
TACR2																									0.000176491					0.000176491
TNFSF9																									0.000176491					0.000176491
ATP1A2														8.38E-05											9.21E-05					0.000175922
CELF1														8.38E-05											9.21E-05					0.000175922
RBM25														3.49E-05	0.000140413															0.000175347
AGTR1														0.000174666																0.000174666
C16orf70														0.000174666																0.000174666
C20orf166														0.000174666																0.000174666
CALML3														0.000174666																0.000174666
CD300LF														0.000174666																0.000174666
CNNM4														0.000174666																0.000174666
CYP7A1														0.000174666																0.000174666
DYNLRB1														0.000174666																0.000174666
